ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
29,MISSOURI,MO,29133,Mississippi,29133950100,"Census Tract 9501, Mississippi County, Missouri",0.8003,0.3084,0.6354,0.8307,0.7693
29,MISSOURI,MO,29021,Buchanan,29021001100,"Census Tract 11, Buchanan County, Missouri",0.9099,0.4524,0.3372,0.7565,0.77
29,MISSOURI,MO,29189,St. Louis,29189213300,"Census Tract 2133, St. Louis County, Missouri",0.6611,0.6499,0.969,0.5007,0.77
29,MISSOURI,MO,29109,Lawrence,29109470400,"Census Tract 4704, Lawrence County, Missouri",0.5826,0.6873,0.8898,0.6765,0.7714
29,MISSOURI,MO,29143,New Madrid,29143960200,"Census Tract 9602, New Madrid County, Missouri",0.9481,0.8768,0.3782,0.3573,0.7722
29,MISSOURI,MO,29109,Lawrence,29109470500,"Census Tract 4705, Lawrence County, Missouri",0.7491,0.8076,0.3761,0.755,0.7729
29,MISSOURI,MO,29095,Jackson,29095012000,"Census Tract 120, Jackson County, Missouri",0.7094,0.7471,0.7875,0.5584,0.7736
29,MISSOURI,MO,29095,Jackson,29095012903,"Census Tract 129.03, Jackson County, Missouri",0.6871,0.5483,0.9532,0.572,0.7743
29,MISSOURI,MO,29189,St. Louis,29189211600,"Census Tract 2116, St. Louis County, Missouri",0.5278,0.7486,0.9373,0.6686,0.7751
29,MISSOURI,MO,29077,Greene,29077003200,"Census Tract 32, Greene County, Missouri",0.8125,0.5785,0.8401,0.482,0.7758
29,MISSOURI,MO,29117,Livingston,29117480500,"Census Tract 4805, Livingston County, Missouri",0.8284,0.7961,0.3523,0.6816,0.7765
29,MISSOURI,MO,29189,St. Louis,29189210703,"Census Tract 2107.03, St. Louis County, Missouri",0.69,0.9056,0.8624,0.3869,0.7772
29,MISSOURI,MO,29095,Jackson,29095008700,"Census Tract 87, Jackson County, Missouri",0.7556,0.0627,0.9244,0.946,0.7779
29,MISSOURI,MO,29077,Greene,29077002300,"Census Tract 23, Greene County, Missouri",0.6309,0.5497,0.6945,0.8739,0.7787
29,MISSOURI,MO,29510,St. Louis City,29510106400,"Census Tract 1064, St. Louis city, Missouri",0.9712,0.6427,0.5648,0.384,0.7794
29,MISSOURI,MO,29095,Jackson,29095011401,"Census Tract 114.01, Jackson County, Missouri",0.4903,0.9085,0.3797,0.951,0.7801
29,MISSOURI,MO,29093,Iron,29093950200,"Census Tract 9502, Iron County, Missouri",0.8226,0.7277,0.1045,0.9251,0.7808
29,MISSOURI,MO,29123,Madison,29123960200,"Census Tract 9602, Madison County, Missouri",0.757,0.531,0.3732,0.9229,0.7815
29,MISSOURI,MO,29225,Webster,29225470202,"Census Tract 4702.02, Webster County, Missouri",0.6208,0.8458,0.1967,0.9705,0.7823
29,MISSOURI,MO,29167,Polk,29167960200,"Census Tract 9602, Polk County, Missouri",0.5011,0.8847,0.281,0.9798,0.783
29,MISSOURI,MO,29107,Lafayette,29107090200,"Census Tract 902, Lafayette County, Missouri",0.5616,0.7075,0.7104,0.8797,0.7837
29,MISSOURI,MO,29183,St. Charles,29183312195,"Census Tract 3121.95, St. Charles County, Missouri",0.6099,0.9294,0.6412,0.6657,0.7844
29,MISSOURI,MO,29039,Cedar,29039870200,"Census Tract 8702, Cedar County, Missouri",0.8745,0.9892,0.1405,0.4964,0.7851
29,MISSOURI,MO,29031,Cape Girardeau,29031881600,"Census Tract 8816, Cape Girardeau County, Missouri",0.9567,0.2341,0.4301,0.8105,0.7859
29,MISSOURI,MO,29510,St. Louis City,29510127500,"Census Tract 1275, St. Louis city, Missouri",0.677,0.1124,0.9582,0.9409,0.7866
29,MISSOURI,MO,29069,Dunklin,29069360700,"Census Tract 3607, Dunklin County, Missouri",0.8053,0.6988,0.8213,0.4633,0.7873
29,MISSOURI,MO,29107,Lafayette,29107090300,"Census Tract 903, Lafayette County, Missouri",0.5689,0.8393,0.7248,0.7846,0.788
29,MISSOURI,MO,29187,St. Francois,29187950600,"Census Tract 9506, St. Francois County, Missouri",0.8565,0.8667,0.0641,0.8401,0.7888
29,MISSOURI,MO,29077,Greene,29077003600,"Census Tract 36, Greene County, Missouri",0.8587,0.835,0.2089,0.7579,0.7895
29,MISSOURI,MO,29199,Scotland,29199480200,"Census Tract 4802, Scotland County, Missouri",0.7563,0.9071,0.0641,0.9063,0.7902
29,MISSOURI,MO,29089,Howard,29089960300,"Census Tract 9603, Howard County, Missouri",0.6273,0.6657,0.621,0.8876,0.7909
29,MISSOURI,MO,29155,Pemiscot,29155470100,"Census Tract 4701, Pemiscot County, Missouri",0.8241,0.8156,0.4726,0.616,0.7916
29,MISSOURI,MO,29031,Cape Girardeau,29031881300,"Census Tract 8813, Cape Girardeau County, Missouri",0.4694,0.5605,0.7522,0.9726,0.7924
29,MISSOURI,MO,29095,Jackson,29095015300,"Census Tract 153, Jackson County, Missouri",0.9113,0.3487,0.9914,0.361,0.7931
29,MISSOURI,MO,29095,Jackson,29095009500,"Census Tract 95, Jackson County, Missouri",0.7513,0.8516,0.7925,0.446,0.7938
29,MISSOURI,MO,29021,Buchanan,29021000400,"Census Tract 4, Buchanan County, Missouri",0.8702,0.9438,0.6585,0.2875,0.7945
29,MISSOURI,MO,29055,Crawford,29055450102,"Census Tract 4501.02, Crawford County, Missouri",0.7815,0.9272,0.3105,0.7082,0.7952
29,MISSOURI,MO,29223,Wayne,29223690300,"Census Tract 6903, Wayne County, Missouri",0.845,0.9467,0.0699,0.7716,0.796
29,MISSOURI,MO,29091,Howell,29091090100,"Census Tract 901, Howell County, Missouri",0.7592,0.9099,0.384,0.6988,0.7967
29,MISSOURI,MO,29077,Greene,29077002200,"Census Tract 22, Greene County, Missouri",0.7664,0.42,0.4849,0.938,0.7974
29,MISSOURI,MO,29189,St. Louis,29189214800,"Census Tract 2148, St. Louis County, Missouri",0.7404,0.5526,0.9027,0.6146,0.7981
29,MISSOURI,MO,29109,Lawrence,29109470602,"Census Tract 4706.02, Lawrence County, Missouri",0.8342,0.7968,0.1664,0.8768,0.7988
29,MISSOURI,MO,29189,St. Louis,29189211500,"Census Tract 2115, St. Louis County, Missouri",0.7318,0.804,0.9337,0.4042,0.7996
